price,brand,model,year,mileage,color,state
16600,mercedes-benz,vans,2016,97983.0,white,new york
30500,chevrolet,1500,2018,30442.0,red,tennessee
6330,ford,mpv,2017,38123.0,red,texas
55000,ford,srw,2017,15273.0,black,pennsylvania
12520,gmc,door,2017,28972.0,black,california
16200,jeep,compass,2019,30061.0,red,north carolina
19000,chevrolet,malibu,2017,18414.0,white,tennessee
5580,dodge,mpv,2017,46829.0,gray,texas
54000,ford,srw,2017,26241.0,black,pennsylvania
12710,gmc,mpv,2017,39886.0,red,california
16000,jeep,compass,2019,31594.0,silver,north carolina
27000,buick,enclave,2017,32107.0,no_color,tennessee
7760,ford,mpv,2017,44794.0,gray,texas
19600,chrysler,300,2019,42648.0,gray,south carolina
12920,gmc,mpv,2017,39165.0,silver,california
20000,jeep,cherokee,2019,38355.0,charcoal,north carolina
18100,buick,door,2017,46766.0,silver,florida
23000,chrysler,pacifica,2020,2473.0,white,ohio
18500,chrysler,300,2019,38586.0,gray,south carolina
13490,gmc,door,2017,27842.0,white,california
20700,jeep,cherokee,2019,31156.0,white,north carolina
17800,chevrolet,door,2017,52435.0,black,florida
6650,ford,door,2017,29942.0,black,texas
29100,chrysler,pacifica,2019,25281.0,red,south carolina
12710,gmc,door,2017,32504.0,silver,california
21100,jeep,cherokee,2019,28649.0,silver,north carolina
18600,chevrolet,door,2017,35200.0,white,florida
4340,ford,door,2017,25602.0,silver,texas
19300,chrysler,300,2019,34801.0,gray,south carolina
12780,gmc,door,2017,31009.0,black,california
15800,jeep,compass,2019,35595.0,charcoal,north carolina
29400,bmw,x3,2017,23765.0,black,tennessee
4430,ford,door,2017,31792.0,black,texas
19400,chrysler,300,2019,33135.0,gray,south carolina
12520,gmc,door,2017,30636.0,red,california
15900,jeep,compass,2019,34502.0,red,north carolina
26400,buick,door,2017,25434.0,white,florida
4140,ford,door,2017,36732.0,black,texas
18300,chrysler,300,2019,41792.0,gray,south carolina
12520,gmc,door,2017,31992.0,black,california
17900,jeep,compass,2019,32501.0,red,north carolina
18300,chevrolet,camaro,2017,28395.0,black,florida
4640,ford,door,2017,36139.0,blue,texas
24000,ford,door,2016,84413.0,black,pennsylvania
13200,gmc,door,2017,33457.0,white,california
18000,jeep,compass,2019,29245.0,gray,north carolina
14900,chevrolet,equinox,2017,12783.0,silver,florida
4140,ford,door,2017,17617.0,white,texas
11500,ford,door,2016,36855.0,black,pennsylvania
9110,ford,door,2017,110316.0,white,texas
7350,chrysler,door,2015,88227.0,black,pennsylvania
24500,bmw,door,2017,17626.0,gray,michigan
9300,ford,door,2017,120353.0,white,texas
39800,dodge,challenger,2015,3641.0,white,pennsylvania
53500,bmw,m,2017,29355.0,blue,michigan
15110,ford,door,2017,39333.0,black,texas
34000,ford,door,2015,42930.0,white,pennsylvania
26502,chevrolet,colorado,2017,24993.0,black,michigan
5990,ford,mpv,2017,44929.0,black,texas
13600,ford,focus,2018,16971.0,black,south carolina
23605,cadillac,door,2017,35598.0,gray,michigan
10780,ford,mpv,2017,40455.0,white,texas
13800,ford,focus,2018,23164.0,white,south carolina
25201,cadillac,door,2017,19011.0,no_color,michigan
7070,ford,mpv,2017,45191.0,white,texas
8700,ford,focus,2018,21405.0,white,south carolina
18003,chevrolet,malibu,2017,19117.0,no_color,michigan
8530,ford,door,2017,42104.0,black,texas
23100,dodge,durango,2018,49496.0,white,south carolina
24500,cadillac,door,2017,32418.0,white,michigan
7000,ford,mpv,2017,29882.0,white,texas
17000,ford,escape,2018,34819.0,gold,south carolina
34002,chevrolet,1500,2017,31923.0,white,michigan
6980,ford,mpv,2017,29168.0,gray,texas
25000,dodge,charger,2018,28307.0,silver,michigan
20802,chevrolet,colorado,2017,33791.0,turquoise,michigan
9200,ford,door,2017,21770.0,black,texas
26500,chrysler,pacifica,2017,18375.0,gray,michigan
24802,chevrolet,colorado,2017,14158.0,gray,michigan
7070,ford,mpv,2017,30318.0,black,texas
28500,ford,door,2017,48086.0,red,south carolina
47500,cadillac,door,2017,26562.0,black,michigan
23500,ford,explorer,2017,57611.0,black,south carolina
23505,chevrolet,colorado,2017,47357.0,black,michigan
10940,ford,door,2017,84916.0,white,texas
32100,ford,f-150,2017,24521.0,gray,south carolina
53000,chevrolet,3500,2018,16105.0,black,washington
6830,ford,mpv,2017,35888.0,gold,texas
11900,dodge,caravan,2017,59537.0,gray,south carolina
26414,chevrolet,1500,2017,55222.0,black,michigan
4160,dodge,mpv,2018,32870.0,gray,florida
19405,chevrolet,door,2017,39687.0,silver,michigan
5690,dodge,mpv,2018,47085.0,silver,florida
25900,chrysler,van,2017,32224.0,silver,south carolina
24005,chevrolet,1500,2017,51293.0,beige,michigan
5090,dodge,mpv,2018,42989.0,gray,florida
19500,chrysler,300,2017,31311.0,gray,arizona
32012,chevrolet,1500,2017,46091.0,white,michigan
6800,dodge,dart,2016,49033.0,black,michigan
4260,dodge,mpv,2018,33957.0,gray,florida
0,dodge,van,2008,177948.0,orange,utah
31802,chevrolet,2500,2017,19845.0,silver,michigan
7210,dodge,doors,2018,38910.0,black,florida
0,dodge,door,2014,123660.0,silver,utah
28402,chevrolet,1500,2017,31234.0,black,michigan
6800,dodge,doors,2018,36767.0,gray,florida
33300,cadillac,esv,2015,57932.0,gray,washington
10780,dodge,mpv,2018,19420.0,white,florida
6700,ford,cutaway,2014,204155.0,beige,pennsylvania
20000,chevrolet,1500,2016,93493.0,white,washington
6440,chrysler,doors,2018,20942.0,gray,florida
19900,ford,door,2016,86826.0,gray,south carolina
37000,chevrolet,door,2015,45787.0,white,washington
4040,dodge,mpv,2018,50765.0,red,florida
22300,ford,explorer,2016,62774.0,black,south carolina
31200,chevrolet,door,2011,76326.0,gray,washington
4290,dodge,mpv,2018,39029.0,white,florida
22800,ford,el,2016,72885.0,silver,south carolina
19002,cadillac,door,2016,46467.0,white,michigan
4160,dodge,mpv,2018,6743.0,gray,florida
18500,ford,edge,2016,33514.0,white,south carolina
39000,bmw,series,2016,39917.0,blue,michigan
6060,dodge,doors,2018,32504.0,black,florida
28800,ford,door,2016,77638.0,white,south carolina
40000,bmw,series,2016,31727.0,gray,michigan
6140,dodge,doors,2018,52966.0,silver,florida
21000,ford,flex,2016,24157.0,gray,south carolina
20105,buick,door,2016,51393.0,beige,michigan
6760,dodge,doors,2018,35461.0,white,florida
25800,ford,door,2014,47055.0,brown,pennsylvania
39000,bmw,series,2016,33110.0,black,michigan
5470,dodge,mpv,2018,39721.0,black,florida
14600,ford,door,2014,75785.0,black,pennsylvania
24502,chevrolet,1500,2016,33624.0,black,michigan
15110,ford,door,2017,42289.0,white,texas
7900,ford,door,2014,79422.0,white,new york
27305,chevrolet,door,2016,28844.0,blue,michigan
15290,ford,door,2017,66582.0,white,texas
26500,ford,door,2015,61436.0,silver,south carolina
25502,chevrolet,door,2016,58303.0,silver,michigan
7320,ford,mpv,2017,55618.0,white,texas
3800,chevrolet,van,2009,261648.0,white,michigan
24502,chevrolet,door,2016,33045.0,white,michigan
4140,ford,door,2017,40747.0,white,texas
1400,dodge,pk,2002,185460.0,black,michigan
18402,cadillac,srx,2016,26667.0,gray,michigan
4160,ford,door,2017,37176.0,white,texas
175,chrysler,door,2000,231240.0,red,north carolina
24503,chevrolet,colorado,2016,18006.0,brown,michigan
15840,ford,door,2017,72445.0,white,texas
20500,ford,door,2014,123355.0,black,south carolina
21003,chevrolet,1500,2016,44116.0,silver,michigan
4200,ford,door,2017,60219.0,red,texas
17400,ford,door,2011,135077.0,red,georgia
32001,chevrolet,door,2016,32058.0,black,michigan
0,ford,mpv,2017,76858.0,white,texas
15700,ford,cab,2011,309564.0,white,south carolina
31009,chevrolet,door,2016,33928.0,white,michigan
3740,ford,wagon,2017,90618.0,white,texas
5000,dodge,pickup,2001,109360.0,white,georgia
31002,chevrolet,door,2016,71809.0,white,michigan
3160,ford,doors,2017,31563.0,gray,texas
8600,dodge,pickup,2005,219823.0,gray,south carolina
6000,chevrolet,malibu,2018,42090.0,gray,texas
12990,ford,door,2017,126523.0,white,texas
25,chevrolet,vehicl,2020,7232.0,black,kentucky
13200,buick,encore,2017,60171.0,black,texas
4410,ford,wagon,2017,209915.0,white,texas
25,chrysler,door,2005,151815.0,silver,massachusetts
22500,chevrolet,camaro,2020,13826.0,green,georgia
7420,ford,mpv,2017,55854.0,white,texas
13500,ford,door,2016,45757.0,silver,arizona
15500,chevrolet,trax,2020,16545.0,white,georgia
3540,ford,door,2017,112893.0,white,texas
17000,ford,door,2016,126802.0,no_color,florida
45500,chevrolet,tahoe,2020,13303.0,white,georgia
4130,ford,door,2017,34061.0,silver,texas
15700,ford,door,2015,70251.0,white,arizona
45500,chevrolet,tahoe,2020,13679.0,gray,georgia
4130,ford,doors,2017,42426.0,gray,texas
15500,dodge,door,2012,66452.0,black,pennsylvania
16300,chevrolet,trax,2020,18221.0,white,georgia
4530,ford,mpv,2017,41455.0,white,texas
15600,dodge,door,2011,35275.0,black,pennsylvania
45500,chevrolet,tahoe,2020,13885.0,white,georgia
4100,ford,door,2017,38815.0,gray,texas
18200,dodge,door,2011,162281.0,white,pennsylvania
10200,chevrolet,door,2013,56479.0,black,texas
4080,ford,doors,2017,61027.0,black,texas
5700,ford,van,2014,178703.0,white,florida
10200,chevrolet,3500,2014,173469.0,white,texas
5000,ford,door,2017,37321.0,white,texas
1700,ford,door,2014,112789.0,white,florida
6200,bmw,door,2011,80394.0,gray,texas
3650,ford,door,2016,68142.0,white,texas
10500,dodge,door,2014,74203.0,white,arizona
43500,chevrolet,2500,2018,57604.0,white,georgia
4610,dodge,van,2016,87229.0,silver,texas
3450,ford,door,2012,90711.0,white,florida
38500,chevrolet,suburban,2018,11135.0,silver,georgia
6810,ford,mpv,2016,66781.0,silver,texas
2900,ford,cargo,2011,190994.0,white,florida
43500,chevrolet,2500,2018,56007.0,white,georgia
4450,ford,mpv,2016,32486.0,white,texas
5800,ford,door,2011,195908.0,white,florida
16500,chevrolet,equinox,2018,18020.0,silver,georgia
4240,dodge,mpv,2016,83262.0,white,texas
26500,ford,pickup,2008,62015.0,white,pennsylvania
13700,chevrolet,equinox,2017,36421.0,silver,georgia
8600,ford,door,2016,73321.0,white,texas
8000,ford,chassis,2008,132379.0,white,florida
14200,chevrolet,equinox,2017,28013.0,silver,georgia
7040,ford,mpv,2016,33291.0,silver,texas
4700,ford,chassis,2005,225236.0,no_color,florida
30851,chevrolet,door,2016,43176.0,red,georgia
4880,ford,mpv,2016,36876.0,silver,texas
14500,dodge,pickup,2006,111782.0,silver,pennsylvania
7600,chevrolet,door,2017,110489.0,brown,nebraska
13270,ford,door,2016,84035.0,white,texas
12800,ford,door,2012,131101.0,gray,arizona
33000,chevrolet,1500,2018,52521.0,white,ontario
9280,ford,door,2016,101380.0,white,texas
900,ford,van,2003,142027.0,white,florida
7560,ford,door,2016,111476.0,gray,texas
19500,ford,drw,2011,76897.0,white,pennsylvania
17100,chevrolet,malibu,2019,15780.0,white,washington
8020,ford,door,2016,31944.0,white,texas
10300,ford,fiesta,2019,18937.0,black,missouri
22600,chevrolet,van,2019,9706.0,white,washington
10480,ford,doors,2016,57289.0,gray,texas
10300,ford,fiesta,2019,19956.0,silver,missouri
22700,chevrolet,van,2019,6075.0,white,washington
7410,ford,door,2016,21034.0,gray,texas
10300,ford,fiesta,2019,22881.0,gray,missouri
10300,chevrolet,door,2013,167600.0,gray,washington
7570,ford,door,2016,37252.0,white,texas
67000,dodge,challenger,2019,10944.0,blue,ohio
18900,chevrolet,impala,2019,27601.0,white,texas
12560,ford,doors,2019,15958.0,white,florida
33000,dodge,durango,2019,32251.0,white,ohio
18300,chevrolet,impala,2019,25809.0,black,texas
11760,ford,cab,2017,30553.0,white,texas
31700,dodge,durango,2019,26549.0,red,ohio
25,dodge,door,2007,160528.0,dark blue,minnesota
0,ford,door,2000,124969.0,black,oklahoma
7340,ford,doors,2019,15854.0,gray,florida
8200,hyundai,door,2017,56690.0,white,connecticut
3000,kia,door,2013,97142.0,silver,missouri
6530,jeep,mpv,2019,10185.0,black,georgia
0,mazda,door,2009,117541.0,gray,indiana
12700,kia,soul,2019,23514.0,silver,california
13800,kia,sorento,2017,86959.0,gray,north carolina
0,chevrolet,pickup,1998,258631.0,gray,texas
725,ford,door,2017,67279.0,gray,virginia
7400,ford,doors,2019,16482.0,gray,florida
9800,hyundai,elantra,2017,35687.0,red,connecticut
0,honda,door,2003,152608.0,white,arkansas
4400,jeep,mpv,2019,17911.0,green,georgia
10330,infiniti,mpv,2019,21278.0,blue,florida
1800,chevrolet,door,2011,47269.0,black,arkansas
50,chevrolet,door,2008,172102.0,blue,texas
720,ford,wagon,2006,26914.0,no_color,florida
22800,ford,door,2017,67217.0,red,michigan
2500,ford,door,2017,78698.0,black,california
0,ford,door,2003,246065.0,gold,kansas
9190,gmc,mpv,2017,41961.0,black,virginia
10900,jeep,mpv,2019,13273.0,red,michigan
10400,infiniti,mpv,2019,31713.0,black,florida
0,chevrolet,door,2004,0.0,maroon,wyoming
0,chevrolet,door,2003,194673.0,gray,texas
7320,chevrolet,pickup,2008,325611.0,silver,florida
22809,ford,f-150,2017,50732.0,black,michigan
0,ford,van,1998,186855.0,blue,california
0,ford,door,2013,94004.0,black,minnesota
5520,gmc,mpv,2017,52904.0,silver,virginia
10900,jeep,mpv,2019,14195.0,orange,michigan
6330,jeep,mpv,2019,43965.0,red,florida
0,chevrolet,door,2009,117059.0,black,colorado
25,chevrolet,pickup,2010,149189.0,white,colorado
2320,dodge,door,2007,112182.0,red,florida
23702,ford,door,2017,49024.0,black,michigan
0,ford,chassis,1994,0.0,green,california
0,ford,door,1997,203297.0,green,minnesota
5520,gmc,mpv,2017,35821.0,silver,virginia
4050,heartland,pioneer,2018,1.0,gray,pennsylvania
14810,infiniti,mpv,2019,32611.0,brown,florida
25,chevrolet,door,2011,105244.0,white,colorado
2960,chrysler,van,2008,164048.0,red,florida
24800,ford,door,2017,46955.0,gray,michigan
0,ford,door,1996,296860.0,green,california
0,ford,door,2006,203158.0,red,illinois
6270,gmc,mpv,2017,70443.0,black,virginia
1880,heartland,trail,2012,1.0,white,pennsylvania
10050,infiniti,mpv,2019,18229.0,gray,florida
225,chevrolet,door,2014,87673.0,red,colorado
26900,chevrolet,traverse,2018,42941.0,black,missouri
1420,chrysler,door,2007,104405.0,gold,florida
27003,ford,door,2017,57186.0,black,michigan
0,ford,door,2002,214800.0,black,south carolina
350,ford,door,2004,236980.0,gray,illinois
5600,gmc,mpv,2017,59808.0,black,virginia
6680,heartland,country,2011,1.0,gray,pennsylvania
10120,infiniti,mpv,2019,20681.0,white,florida
0,chevrolet,door,2010,137422.0,red,colorado
3920,ford,door,2015,102700.0,white,georgia
23100,ford,door,2017,53270.0,black,michigan
0,gmc,door,2004,235348.0,gold,south carolina
5630,gmc,mpv,2017,27195.0,black,virginia
0,heartland,sundance,2009,1.0,white,pennsylvania
2800,jaguar,doors,2019,20849.0,black,florida
0,chevrolet,door,2008,159266.0,gray,california
8850,ford,door,2015,143818.0,black,georgia
18712,ford,f-150,2017,67347.0,black,michigan
0,ford,pickup,2009,180364.0,blue,tennessee
0,ford,door,2009,184889.0,black,illinois
6300,gmc,mpv,2017,117400.0,blue,virginia
2220,heartland,country,2010,1.0,white,pennsylvania
6930,jeep,mpv,2019,47798.0,red,florida
25,chevrolet,door,2008,130623.0,white,california
3440,ford,door,2015,124542.0,white,georgia
50412,ford,door,2017,47129.0,black,michigan
25,ford,pickup,1994,206162.0,white,georgia
950,ford,pk,2001,229886.0,red,illinois
9270,gmc,mpv,2017,19490.0,gray,virginia
11380,jeep,mpv,2019,12038.0,black,michigan
5350,hyundai,mpv,2019,43536.0,blue,florida
2725,chevrolet,door,2004,308451.0,black,south carolina
3790,ford,door,2015,100893.0,gray,georgia
40514,ford,door,2017,90304.0,white,michigan
0,ford,door,1997,146912.0,green,wisconsin
0,ford,door,1998,131367.0,white,illinois
9190,gmc,mpv,2017,31394.0,gray,virginia
10330,infiniti,mpv,2019,25933.0,gray,florida
1000,acura,door,2008,118250.0,gray,michigan
2925,bmw,door,2013,46060.0,white,florida
3830,ford,door,2015,50593.0,gold,georgia
43402,ford,door,2017,62387.0,blue,michigan
1025,gmc,door,2009,169634.0,black,michigan
17200,honda,van,2016,72527.0,gray,new jersey
54680,harley-davidson,road/street,2016,9502.0,black,virginia
6940,honda,door,2010,217290.0,no_color,pennsylvania
13080,infiniti,mpv,2019,17243.0,gray,florida
25,chevrolet,door,2007,194903.0,gray,virginia
10630,ford,door,2015,82899.0,white,georgia
43009,ford,door,2017,76418.0,white,michigan
25,gmc,door,2003,138441.0,white,michigan
4600,ford,pickup,2006,240740.0,brown,mississippi
4950,honda,mpv,2016,71404.0,black,virginia
3760,hyundai,doors,2019,30382.0,silver,florida
3900,acura,door,2009,179389.0,black,texas
0,cadillac,coupe,2000,105169.0,white,virginia
3830,ford,door,2015,82534.0,silver,georgia
53500,ford,door,2017,55732.0,white,michigan
25,ford,door,2010,198596.0,gray,michigan
25,ford,door,1998,300021.0,brown,arkansas
6240,honda,door,2015,83623.0,silver,virginia
4150,jeep,door,2014,108895.0,white,new york
25,jeep,door,1999,226972.0,black,florida
61200,bmw,series,2020,7509.0,black,california
0,buick,door,2006,137464.0,blue,virginia
13500,bmw,series,2014,33542.0,blue,new jersey
6490,ford,door,2015,74754.0,black,georgia
51502,ford,door,2017,27661.0,black,michigan
250,ford,door,2010,115241.0,white,michigan
25,ford,door,1984,41577.0,white,arkansas
8160,honda,van,2015,109027.0,gray,virginia
7770,jeep,door,2014,72732.0,gray,new york
200,jeep,door,2001,126400.0,green,maryland
25,audi,door,2008,177422.0,black,texas
0,chevrolet,door,1995,274706.0,green,arizona
1825,bmw,coupe,2008,77984.0,white,georgia
39800,bmw,series,2017,23177.0,blue,california
9210,ford,door,2015,26911.0,silver,georgia
58500,ford,srw,2019,21527.0,blue,washington
125,ford,door,2014,56461.0,silver,michigan
3960,honda,door,2015,95128.0,white,virginia
5998,hyundai,doors,2014,122975.0,phantom black,new york
3700,honda,doors,2014,162824.0,blue,new york
0,kia,wagon,2008,148463.0,silver,indiana
0,audi,door,2005,181896.0,black,california
0,bmw,door,2000,216657.0,gray,utah
5000,gmc,door,2012,140339.0,black,utah
15050,infiniti,mpv,2019,26786.0,white,texas
3960,hyundai,doors,2019,35623.0,red,ohio
36300,lincoln,nautilus,2019,14541.0,black,california
55600,lexus,gx,2020,8186.0,silver,florida
2630,nissan,doors,2018,36739.0,gray,california
5690,nissan,mpv,2017,42616.0,blue,new jersey
19500,audi,q5,2017,65833.0,blue,texas
450,chevrolet,coupe,2008,123515.0,yellow,minnesota
20400,cadillac,door,2015,36122.0,white,wisconsin
4320,chevrolet,door,2011,88359.0,brown,florida
33001,ford,f-150,2017,35905.0,gray,michigan
10000,ford,door,2017,35747.0,red,arkansas
0,ford,door,2004,167011.0,red,maryland
5790,gmc,door,2012,105020.0,white,utah
14750,infiniti,mpv,2019,11047.0,black,texas
4010,hyundai,doors,2019,31233.0,silver,ohio
40000,mercedes-benz,gle,2019,19427.0,white,california
13000,kia,sportage,2017,71991.0,silver,new jersey
3550,nissan,doors,2018,29043.0,blue,california
3040,nissan,doors,2017,36064.0,gray,new jersey
0,chevrolet,coupe,2008,270080.0,yellow,illinois
36400,audi,5,2015,47213.0,black,wisconsin
4480,ford,door,2011,116480.0,black,florida
31003,ford,door,2017,72084.0,red,michigan
75,ford,pickup,2001,295780.0,gold,arkansas
8850,gmc,door,2011,148035.0,white,utah
14750,infiniti,mpv,2019,11396.0,white,texas
4690,hyundai,mpv,2019,33785.0,silver,ohio
23000,land,sport,2018,20103.0,black,california
46900,land,discovery,2018,32387.0,black,florida
10740,mercedes-benz,doors,2018,48140.0,white,california
3160,nissan,doors,2017,34861.0,gray,new jersey
0,chevrolet,door,2006,268040.0,silver,texas
3450,chrysler,door,2011,114119.0,gold,florida
27102,ford,f-150,2017,34165.0,red,michigan
500,gmc,door,2018,27442.0,black,arkansas
5100,gmc,door,2011,144792.0,white,utah
15010,infiniti,mpv,2019,11394.0,beige,texas
5800,jeep,mpv,2019,30546.0,silver,ohio
23200,land,sport,2018,23745.0,black,california
8000,hyundai,door,2015,88274.0,red,pennsylvania
3390,nissan,doors,2018,38349.0,gray,california
3140,nissan,doors,2017,30142.0,white,new jersey
25,chevrolet,door,2007,267834.0,black,texas
15000,bmw,door,2014,44730.0,silver,illinois
10440,chevrolet,cab,2011,92476.0,blue,florida
23911,ford,f-150,2017,25698.0,black,michigan
25,ford,pk,2010,155242.0,gray,oklahoma
21400,gmc,acadia,2018,54332.0,gray,new jersey
5380,gmc,cab,2011,119215.0,white,utah
11000,jeep,mpv,2019,8930.0,red,michigan
4950,jeep,mpv,2019,46985.0,silver,ohio
22500,land,sport,2018,30220.0,black,california
30300,maserati,ghibli,2017,37021.0,black,florida
2630,nissan,doors,2018,43152.0,white,california
3140,nissan,doors,2017,34318.0,silver,new jersey
2300,chevrolet,door,2011,88287.0,white,arkansas
4310,chevrolet,door,2011,105486.0,black,florida
26012,ford,door,2017,19850.0,black,michigan
75,ford,door,2014,116535.0,silver,oklahoma
48500,gmc,1500,2019,15777.0,black,pennsylvania
3330,gmc,mpv,2009,87448.0,white,utah
11200,jeep,mpv,2019,8395.0,yellow,michigan
4730,hyundai,mpv,2019,30121.0,red,ohio
24900,mercedes-benz,glc,2018,33687.0,white,california
29400,mercedes-benz,e-class,2017,37561.0,blue,florida
8350,nissan,cab,2018,32256.0,gray,california
475,peterbilt,truck,2012,902041.0,gold,florida
3210,nissan,doors,2017,25255.0,black,new jersey
25,chevrolet,van,2006,165327.0,white,arkansas
4200,chevrolet,cutaway,2006,118009.0,white,wisconsin
8430,chevrolet,utility,2011,114547.0,black,florida
25503,ford,f-150,2017,18647.0,black,michigan
0,ford,pickup,1996,252588.0,red,oklahoma
26000,gmc,limited,2019,16669.0,black,pennsylvania
3900,honda,doors,2017,47970.0,blue,virginia
11200,jeep,mpv,2019,12905.0,gray,michigan
8610,jeep,mpv,2019,22123.0,silver,ohio
28000,mercedes-benz,gle,2018,40780.0,white,california
84900,mercedes-benz,sl-class,2017,25302.0,silver,florida
10840,lexus,mpv,2017,36596.0,black,california
100,peterbilt,truck,2012,0.0,blue,florida
11050,ram,door,2017,30421.0,white,new jersey
0,chevrolet,door,2012,134938.0,orange,oklahoma
1000,chevrolet,door,2005,135675.0,gray,wisconsin
3570,dodge,door,2015,17355.0,black,georgia
25001,ford,door,2017,27773.0,gray,michigan
0,ford,door,2010,86841.0,silver,oklahoma
5630,gmc,mpv,2017,58366.0,black,virginia
11100,jeep,mpv,2019,11229.0,white,michigan
4650,hyundai,mpv,2019,27492.0,white,ohio
0,lincoln,door,2005,89705.0,green,minnesota
3820,nissan,mpv,2016,41654.0,blue,california
0,peterbilt,truck,2009,982486.0,blue,florida
2900,nissan,doors,2017,31954.0,gray,new jersey
50,chevrolet,door,2008,172102.0,blue,texas
5100,chevrolet,pickup,2004,173321.0,gray,wisconsin
4700,dodge,door,2015,93423.0,red,georgia
29502,ford,f-150,2017,14053.0,red,michigan
0,ford,door,2008,145483.0,red,oklahoma
6160,honda,door,2017,25956.0,white,virginia
10910,jeep,mpv,2019,12253.0,red,michigan
3440,hyundai,doors,2019,34895.0,gray,ohio
16000,mazda,cx-3,2016,47753.0,gray,florida
3810,kia,door,2016,39408.0,black,california
1025,peterbilt,truck,2010,1017936.0,color:,georgia
3020,nissan,doors,2017,33599.0,white,new jersey
0,chevrolet,door,2003,194673.0,gray,texas
2000,chevrolet,pickup,2003,507985.0,red,wisconsin
3870,ford,door,2010,185983.0,white,florida
24811,ford,door,2017,28464.0,red,michigan
75,ford,door,2007,154989.0,blue,oklahoma
5420,honda,doors,2017,16702.0,black,virginia
11100,jeep,mpv,2019,11449.0,yellow,michigan
4750,hyundai,mpv,2019,25847.0,gray,ohio
17900,mercedes-benz,door,2015,49772.0,gray,florida
3800,nissan,door,2015,83915.0,black,california
3160,nissan,doors,2017,40306.0,silver,new jersey
25,chevrolet,pickup,2010,149189.0,white,colorado
1200,chevrolet,door,2001,149543.0,red,wisconsin
6470,chevrolet,coupe,2010,69622.0,yellow,florida
26400,ford,door,2017,36295.0,red,michigan
0,gmc,door,1993,0.0,light blue,colorado
32500,gmc,2500hd,2018,14856.0,blue,pennsylvania
6900,honda,mpv,2017,44129.0,brown,minnesota
11030,jeep,mpv,2019,10861.0,yellow,michigan
3460,hyundai,door,2012,142106.0,white,mississippi
18000,mercedes-benz,door,2015,82411.0,black,florida
3250,hyundai,door,2015,111612.0,gray,california
3210,nissan,doors,2017,35251.0,gray,new jersey
13200,chevrolet,door,2017,50408.0,black,pennsylvania
27705,ford,f-150,2019,15630.0,gray,michigan
7200,chevrolet,door,2017,53273.0,black,pennsylvania
28714,ford,f-150,2019,14786.0,white,michigan
11200,chevrolet,door,2017,85315.0,white,pennsylvania
27502,ford,f-150,2019,16146.0,gray,michigan
11900,chevrolet,door,2017,76211.0,blue,pennsylvania
29314,ford,f-150,2019,15265.0,gray,michigan
11200,chevrolet,door,2017,79965.0,silver,pennsylvania
27002,ford,f-150,2019,16059.0,gray,michigan
13200,chevrolet,door,2017,62739.0,black,pennsylvania
28214,ford,f-150,2019,15569.0,white,michigan
12700,chevrolet,door,2017,58932.0,black,pennsylvania
29900,ford,f-150,2019,17488.0,white,michigan
12700,chevrolet,door,2017,60733.0,black,pennsylvania
27202,ford,f-150,2019,18550.0,red,michigan
13500,chevrolet,impala,2018,53194.0,white,new jersey
27705,ford,f-150,2019,17644.0,silver,michigan
14700,chevrolet,van,2016,34454.0,white,pennsylvania
29900,ford,f-150,2019,17684.0,white,michigan
4500,chevrolet,door,2015,83279.0,gray,pennsylvania
