country,year,children,child_mortality,income,life,population,continent
Saint Vincent and the Grenadines,1800,6.54,463.0,838.0,26.0,25800,North America
Samoa,1800,6.98,471.0,1400.0,25.4,47300,Oceania
San Marino,1800,,,1400.0,,5490,Europe
Sao Tome and Principe,1800,6.23,449.0,850.0,31.0,22700,Africa
Saudi Arabia,1800,6.86,416.0,2370.0,32.1,2000000,Asia
Senegal,1800,5.7,512.0,497.0,25.2,1010000,Africa
Serbia,1800,5.9,374.0,1360.0,35.5,2150000,Europe
Seychelles,1800,5.16,447.0,792.0,37.0,12500,Africa
Sierra Leone,1800,5.72,514.0,734.0,25.1,794000,Africa
Singapore,1800,5.47,456.0,1020.0,29.1,30000,Asia
Slovakia,1800,5.94,363.0,1430.0,36.4,2140000,Europe
Slovenia,1800,4.93,361.0,1410.0,36.6,470000,Europe
Solomon Islands,1800,6.42,505.0,363.0,25.1,57000,Oceania
Somalia,1800,6.87,452.0,694.0,29.4,989000,Africa
South Africa,1800,6.47,398.0,2280.0,33.5,1450000,Africa
South Sudan,1800,6.64,490.0,507.0,26.7,1030000,Africa
Spain,1800,5.13,451.0,1600.0,29.5,11500000,Europe
Sri Lanka,1800,5.68,410.0,799.0,32.6,1750000,Asia
Sudan,1800,6.64,425.0,518.0,31.4,3990000,Africa
Suriname,1800,6.58,406.0,1640.0,32.9,80700,South America
Swaziland,1800,6.71,414.0,490.0,32.3,86000,Africa
Sweden,1800,4.07,381.0,1450.0,32.2,2500000,Europe
Switzerland,1800,4.14,345.0,2700.0,38.0,1750000,Europe
Syria,1800,6.85,429.0,502.0,31.1,1250000,Asia
Tajikistan,1800,5.87,381.0,556.0,24.2,467000,Asia
Tanzania,1800,6.74,415.0,562.0,32.2,3000000,Africa
Thailand,1800,6.35,438.0,795.0,30.4,3000000,Asia
Togo,1800,6.34,427.0,682.0,31.3,446000,Africa
Tonga,1800,6.51,445.0,663.0,28.2,18700,Oceania
Trinidad and Tobago,1800,4.44,406.0,1230.0,32.9,20000,North America
Tunisia,1800,6.4,460.0,715.0,28.8,800000,Africa
Turkey,1800,6.92,380.0,1190.0,35.0,9760000,Asia
Turkmenistan,1800,6.22,498.0,943.0,24.0,367000,Asia
Tuvalu,1800,,,719.0,,2500,Oceania
US,1800,7.03,329.0,1980.0,39.4,6000000,North America
Uganda,1800,6.89,511.0,464.0,25.3,2500000,Africa
Ukraine,1800,7.5,361.0,763.0,36.6,11200000,Europe
United Arab Emirates,1800,6.94,434.0,998.0,30.7,40200,Asia
United Kingdom,1800,4.97,329.0,3280.0,38.6,10800000,Europe
Uruguay,1800,5.97,406.0,1810.0,32.9,55000,South America
Uzbekistan,1800,5.71,381.0,502.0,26.9,1920000,Asia
Vanuatu,1800,6.6,426.0,585.0,24.3,27800,Oceania
Venezuela,1800,5.63,415.0,1210.0,32.2,1000000,South America
Vietnam,1800,4.7,417.0,778.0,32.0,4000000,Asia
Yemen,1800,6.88,540.0,877.0,23.4,2590000,Asia
Zambia,1800,6.71,410.0,663.0,32.6,747000,Africa
Zimbabwe,1800,6.75,396.0,869.0,33.7,1090000,Africa
Afghanistan,1801,7.0,469.0,603.0,28.2,3280000,Asia
Albania,1801,4.6,375.0,667.0,35.4,402000,Europe
Algeria,1801,6.99,460.0,716.0,28.8,2510000,Africa
Andorra,1801,,,1200.0,,2650,Europe
Angola,1801,6.93,486.0,620.0,27.0,1570000,Africa
Antigua and Barbuda,1801,5.0,470.0,757.0,33.5,37000,North America
Argentina,1801,6.8,402.0,1640.0,33.2,520000,South America
Armenia,1801,7.8,371.0,514.0,34.0,413000,Europe
Australia,1801,6.48,391.0,822.0,34.0,205000,Oceania
Austria,1801,5.1,373.0,1850.0,34.4,3020000,Europe
Azerbaijan,1801,8.1,383.0,775.0,29.2,880000,Europe
Bahamas,1801,5.9,467.0,1450.0,35.2,27400,North America
Bahrain,1801,7.03,440.0,1240.0,30.3,64500,Asia
Bangladesh,1801,6.7,508.0,876.0,25.5,19200000,Asia
Barbados,1801,4.93,471.0,914.0,32.1,81700,North America
Belarus,1801,7.0,366.0,608.0,36.2,2360000,Europe
Belgium,1801,4.85,322.0,2390.0,40.0,3260000,Europe
Belize,1801,6.69,464.0,579.0,26.5,25500,North America
Benin,1801,5.55,430.0,597.0,31.0,637000,Africa
Bhutan,1801,6.67,463.0,629.0,28.8,392000,Asia
Bolivia,1801,6.48,405.0,854.0,33.0,897000,South America
Bosnia and Herzegovina,1801,5.91,379.0,669.0,35.1,852000,Europe
Botswana,1801,6.47,397.0,397.0,33.6,121000,Africa
Brazil,1801,6.26,417.0,1120.0,32.0,2570000,South America
Brunei,1801,7.06,455.0,1510.0,29.2,2260,Asia
Bulgaria,1801,5.16,370.0,1090.0,35.8,2250000,Europe
Burkina,1801,6.03,455.0,480.0,29.2,1670000,Africa
Burma (Myanmar),1801,6.03,433.0,594.0,30.8,5840000,Asia
Burundi,1801,6.8,424.0,418.0,31.5,899000,Africa
CZ,1801,5.32,380.0,1920.0,35.0,5520000,Europe
Cambodia,1801,6.95,380.0,385.0,35.0,2090000,Asia
Cameroon,1801,5.54,460.0,626.0,28.8,1860000,Africa
Canada,1801,5.72,333.0,1320.0,39.0,512000,North America
Cape Verde,1801,6.43,395.0,529.0,33.8,55700,Africa
Central African Republic,1801,6.51,444.0,424.0,30.0,479000,Africa
Chad,1801,6.06,432.0,418.0,30.9,1440000,Africa
Chile,1801,5.98,417.0,744.0,32.0,771000,South America
China,1801,5.5,417.0,735.0,32.0,332000000,Asia
Colombia,1801,6.19,417.0,932.0,32.0,1210000,South America
Comoros,1801,6.01,416.0,697.0,32.1,56300,Africa
Congo,1801,5.67,409.0,576.0,32.7,314000,Africa
Costa Rica,1801,6.93,441.0,775.0,30.2,53500,North America
Croatia,1801,5.75,367.0,1090.0,36.1,1230000,Europe
Cuba,1801,5.78,414.0,909.0,32.3,293000,North America
Cyprus,1801,6.03,339.0,854.0,38.5,184000,Europe
Denmark,1801,4.04,379.0,2020.0,38.5,1010000,Europe
Djibouti,1801,6.3,445.0,754.0,29.9,22800,Africa
Dominica,1801,,,663.0,,20000,North America
Dominican Republic,1801,6.16,445.0,667.0,29.9,146000,North America
East Timor,1801,6.52,446.0,522.0,28.9,137000,Asia
Ecuador,1801,6.98,406.0,529.0,32.9,500000,South America
Egypt,1801,6.06,405.0,1600.0,33.0,3530000,Africa
El Salvador,1801,5.9,462.0,975.0,28.7,238000,North America
Equatorial Guinea,1801,5.51,447.0,356.0,29.8,80400,Africa
Eritrea,1801,6.96,441.0,532.0,30.2,205000,Africa
Estonia,1801,5.5,362.0,939.0,35.7,334000,Europe
Ethiopia,1801,7.17,448.0,523.0,29.7,12000000,Africa
Fiji,1801,6.45,499.0,785.0,26.1,131000,Oceania
Finland,1801,5.07,420.0,1240.0,40.3,815000,Europe
France,1801,4.36,407.0,1850.0,36.4,29100000,Europe
Gabon,1801,6.5,436.0,390.0,30.6,158000,Africa
Gambia,1801,6.51,460.0,813.0,28.8,103000,Africa
Georgia,1801,7.8,396.0,543.0,31.9,1070000,Europe
Germany,1801,5.4,340.0,2010.0,38.4,18300000,Europe
Ghana,1801,6.43,471.0,696.0,28.0,2020000,Africa
Greece,1801,6.03,361.0,1370.0,36.6,2250000,Europe
Grenada,1801,5.81,469.0,959.0,31.4,29400,North America
Guatemala,1801,6.45,503.0,857.0,25.8,469000,North America
Guinea,1801,6.11,451.0,450.0,29.5,984000,Africa
Guinea-Bissau,1801,7.25,417.0,567.0,32.0,218000,Africa
Guyana,1801,5.01,429.0,1210.0,31.1,166000,South America
Haiti,1801,6.31,486.0,633.0,29.0,509000,North America
Honduras,1801,6.05,393.0,675.0,33.9,130000,North America
Hungary,1801,5.18,368.0,1250.0,36.0,3290000,Europe
Iceland,1801,4.88,412.0,926.0,33.9,61400,Europe
India,1801,5.95,509.0,862.0,25.4,201000000,Asia
Indonesia,1801,6.07,444.0,986.0,30.0,16200000,Asia
Iran,1801,7.08,506.0,1530.0,25.6,6030000,Asia
Iraq,1801,7.13,428.0,3840.0,31.2,1000000,Asia
Ireland,1801,4.2,348.0,1470.0,38.3,5330000,Europe
Israel,1801,5.99,448.0,880.0,32.0,210000,Asia
Italy,1801,5.47,457.0,2740.0,29.7,19100000,Europe
Jamaica,1801,5.13,390.0,1360.0,34.2,304000,North America
Japan,1801,4.11,363.0,1010.0,36.4,28100000,Asia
Jordan,1801,6.97,421.0,1130.0,31.7,201000,Asia
Kazakhstan,1801,6.45,497.0,1140.0,26.2,2040000,Asia
Kenya,1801,6.91,508.0,856.0,25.5,2590000,Africa
Kiribati,1801,5.67,451.0,551.0,24.9,17900,Oceania
"Korea, North",1801,6.1,500.0,250.0,26.0,4350000,Asia
"Korea, South",1801,6.0,503.0,462.0,25.8,9400000,Asia
Kuwait,1801,6.87,500.0,1100.0,26.0,81300,Asia
Kyrgyzstan,1801,6.58,383.0,508.0,23.9,530000,Asia
Laos,1801,6.13,419.0,865.0,31.9,470000,Asia
Latvia,1801,5.19,405.0,752.0,33.0,591000,Europe
Lebanon,1801,5.74,448.0,2150.0,29.7,302000,Asia
Lesotho,1801,5.84,407.0,351.0,32.8,276000,Africa
Liberia,1801,6.19,429.0,797.0,31.1,314000,Africa
Libya,1801,7.2,405.0,1050.0,33.1,230000,Africa
Liechtenstein,1801,,,,,5800,Europe
Lithuania,1801,5.76,459.0,1270.0,28.9,779000,Europe
Luxembourg,1801,4.78,357.0,1450.0,36.9,127000,Europe
Macedonia,1801,5.9,397.0,690.0,36.1,392000,Europe
Madagascar,1801,6.89,437.0,573.0,30.5,1510000,Africa
Malawi,1801,6.78,440.0,350.0,30.3,753000,Africa
Malaysia,1801,5.45,436.0,1120.0,30.6,287000,Asia
Maldives,1801,5.98,458.0,843.0,32.6,42400,Asia
Mali,1801,6.23,494.0,603.0,26.4,1400000,Africa
Malta,1801,5.49,459.0,782.0,28.7,134000,Europe
Marshall Islands,1801,,,539.0,,5830,Oceania
Mauritania,1801,6.34,417.0,528.0,32.0,383000,Africa
Mauritius,1801,5.03,428.0,940.0,28.7,60700,Africa
Mexico,1801,6.8,487.0,1550.0,26.9,5170000,North America
Micronesia,1801,6.02,448.0,518.0,26.7,16400,Oceania
Moldova,1801,6.39,396.0,621.0,33.1,713000,Europe
Monaco,1801,,,1950.0,,7790,Europe
Mongolia,1801,5.94,420.0,592.0,31.8,601000,Asia
Montenegro,1801,5.9,375.0,1060.0,35.4,127000,Europe
Morocco,1801,6.5,403.0,714.0,33.1,2510000,Africa
Mozambique,1801,6.63,440.0,391.0,30.3,2000000,Africa
Namibia,1801,5.96,412.0,540.0,32.4,226000,Africa
Nauru,1801,,,554.0,,1830,Oceania
Nepal,1801,6.15,407.0,621.0,32.8,3990000,Asia
Netherlands,1801,5.11,324.0,3330.0,39.9,2000000,Europe
New Zealand,1801,5.25,391.0,658.0,34.0,193000,Oceania
Nicaragua,1801,6.16,509.0,973.0,25.4,186000,North America
Niger,1801,6.83,433.0,446.0,30.8,853000,Africa
Nigeria,1801,6.55,438.0,853.0,30.4,12100000,Africa
Norway,1801,4.07,336.0,2540.0,35.8,898000,Europe
Oman,1801,6.88,414.0,916.0,32.3,301000,Asia
Pakistan,1801,6.59,502.0,1020.0,25.8,13100000,Asia
Palau,1801,,,839.0,,3880,Oceania
Panama,1801,5.36,406.0,847.0,32.9,76200,North America
Papua New Guinea,1801,6.23,424.0,546.0,31.5,755000,Oceania
Paraguay,1801,6.49,374.0,835.0,35.5,289000,South America
Peru,1801,6.82,372.0,1060.0,35.7,1270000,South America
Philippines,1801,6.41,432.0,1090.0,30.9,2440000,Asia
Poland,1801,6.26,369.0,1080.0,35.9,9070000,Europe
Portugal,1801,4.5,373.0,1780.0,35.6,2780000,Europe
Qatar,1801,6.97,433.0,1100.0,30.8,14100,Asia
Romania,1801,5.22,372.0,377.0,35.7,5540000,Europe
Russian Federation,1801,7.0,419.0,1430.0,29.6,31300000,Asia
Rwanda,1801,7.07,420.0,432.0,25.0,928000,Africa
Saint Kitts and Nevis,1801,,,1170.0,,17200,North America
Saint Lucia,1801,5.53,457.0,875.0,28.0,24000,North America
Saint Vincent and the Grenadines,1801,6.54,461.0,838.0,26.0,25800,North America
Samoa,1801,6.98,468.0,1400.0,25.4,47300,Oceania
San Marino,1801,,,1400.0,,5490,Europe
Sao Tome and Principe,1801,6.23,447.0,852.0,31.0,22700,Africa
Saudi Arabia,1801,6.86,416.0,2370.0,32.1,2000000,Asia
Senegal,1801,5.7,512.0,497.0,25.2,1010000,Africa
Serbia,1801,5.9,374.0,1360.0,35.5,2150000,Europe
Seychelles,1801,5.16,443.0,795.0,37.0,12500,Africa
Sierra Leone,1801,5.72,514.0,734.0,25.1,794000,Africa
Singapore,1801,5.47,456.0,1020.0,29.1,30000,Asia
Slovakia,1801,5.94,363.0,1430.0,36.4,2140000,Europe
Slovenia,1801,4.92,361.0,1410.0,36.6,470000,Europe
Solomon Islands,1801,6.42,505.0,363.0,25.1,57000,Oceania
Somalia,1801,6.87,452.0,694.0,29.4,989000,Africa
South Africa,1801,6.47,398.0,2250.0,33.5,1450000,Africa
South Sudan,1801,6.64,490.0,507.0,26.7,1030000,Africa
Spain,1801,5.13,451.0,1610.0,29.5,11500000,Europe
Sri Lanka,1801,5.68,410.0,799.0,32.6,1720000,Asia
Sudan,1801,6.64,425.0,518.0,31.4,4000000,Africa
Suriname,1801,6.58,406.0,1640.0,32.9,80700,South America
Swaziland,1801,6.71,414.0,490.0,32.3,85600,Africa
Sweden,1801,4.26,329.0,1440.0,36.9,2490000,Europe
Switzerland,1801,4.14,345.0,2700.0,38.0,1760000,Europe
Syria,1801,6.85,429.0,503.0,31.1,1250000,Asia
Tajikistan,1801,5.87,381.0,557.0,24.2,467000,Asia
Tanzania,1801,6.74,415.0,562.0,32.2,3000000,Africa
Thailand,1801,6.35,438.0,795.0,30.4,3070000,Asia
Togo,1801,6.34,427.0,683.0,31.3,446000,Africa
Tonga,1801,6.51,442.0,663.0,28.2,18700,Oceania
Trinidad and Tobago,1801,4.44,406.0,1230.0,32.9,21100,North America
Tunisia,1801,6.4,460.0,715.0,28.8,804000,Africa
Turkey,1801,6.92,380.0,1190.0,35.0,9780000,Asia
Turkmenistan,1801,6.22,498.0,944.0,24.0,367000,Asia
Tuvalu,1801,,,719.0,,2500,Oceania
US,1801,7.01,329.0,2020.0,39.4,6110000,North America
Uganda,1801,6.89,511.0,464.0,25.3,2480000,Africa
Ukraine,1801,7.5,361.0,764.0,36.6,11200000,Europe
United Arab Emirates,1801,6.94,434.0,1000.0,30.7,40200,Asia
United Kingdom,1801,4.6,327.0,3290.0,37.4,10900000,Europe
Uruguay,1801,5.97,406.0,1810.0,32.9,55000,South America
Uzbekistan,1801,5.71,381.0,502.0,26.9,1920000,Asia
Vanuatu,1801,6.6,424.0,586.0,24.3,27800,Oceania
Venezuela,1801,5.63,415.0,1200.0,32.2,978000,South America
Vietnam,1801,4.7,417.0,778.0,32.0,4100000,Asia
Yemen,1801,6.88,540.0,879.0,23.4,2590000,Asia
Zambia,1801,6.71,410.0,665.0,32.6,758000,Africa
Zimbabwe,1801,6.75,396.0,870.0,33.7,1090000,Africa
Afghanistan,1802,7.0,469.0,603.0,28.2,3280000,Asia
Albania,1802,4.6,375.0,667.0,35.4,404000,Europe
Algeria,1802,6.99,460.0,717.0,28.8,2520000,Africa
Andorra,1802,,,1200.0,,2650,Europe
Angola,1802,6.93,486.0,623.0,27.0,1570000,Africa
Antigua and Barbuda,1802,4.99,466.0,757.0,33.5,37000,North America
Argentina,1802,6.8,402.0,1650.0,33.2,506000,South America
Armenia,1802,7.81,370.0,514.0,34.0,413000,Europe
Australia,1802,6.46,391.0,826.0,34.0,211000,Oceania
Austria,1802,5.1,359.0,1860.0,34.4,3040000,Europe
Azerbaijan,1802,8.1,382.0,775.0,29.2,880000,Europe
Bahamas,1802,5.9,463.0,1450.0,35.2,27400,North America
Bahrain,1802,7.03,440.0,1250.0,30.3,64500,Asia
Bangladesh,1802,6.7,508.0,876.0,25.5,19300000,Asia
Barbados,1802,4.9,473.0,914.0,32.1,81700,North America
Belarus,1802,7.0,366.0,608.0,36.2,2360000,Europe
Belgium,1802,4.84,322.0,2390.0,40.0,3270000,Europe
Belize,1802,6.69,461.0,579.0,26.5,25500,North America
Benin,1802,5.55,430.0,597.0,31.0,637000,Africa
Bhutan,1802,6.67,463.0,630.0,28.8,392000,Asia
Bolivia,1802,6.48,405.0,854.0,33.0,906000,South America
Bosnia and Herzegovina,1802,5.91,379.0,669.0,35.1,852000,Europe
Botswana,1802,6.47,397.0,397.0,33.6,120000,Africa
Brazil,1802,6.26,417.0,1120.0,32.0,2650000,South America
Brunei,1802,7.06,455.0,1510.0,29.2,2260,Asia
Bulgaria,1802,5.16,369.0,1090.0,35.9,2240000,Europe
Burkina,1802,6.03,455.0,480.0,29.2,1670000,Africa
Burma (Myanmar),1802,6.03,433.0,594.0,30.8,5690000,Asia
Burundi,1802,6.8,424.0,419.0,31.5,899000,Africa
CZ,1802,5.31,380.0,1920.0,35.0,5520000,Europe
Cambodia,1802,6.95,380.0,385.0,35.0,2090000,Asia
Cameroon,1802,5.54,460.0,626.0,28.8,1860000,Africa
Canada,1802,5.72,333.0,1330.0,39.0,525000,North America
Cape Verde,1802,6.43,395.0,529.0,33.8,55700,Africa
Central African Republic,1802,6.51,444.0,424.0,30.0,479000,Africa
Chad,1802,6.06,432.0,418.0,30.9,1440000,Africa
Chile,1802,5.98,417.0,744.0,32.0,771000,South America
China,1802,5.5,417.0,733.0,32.0,333000000,Asia
Colombia,1802,6.19,417.0,927.0,32.0,1210000,South America
Comoros,1802,6.01,416.0,697.0,32.1,56300,Africa
Congo,1802,5.67,409.0,578.0,32.7,314000,Africa
Costa Rica,1802,6.93,441.0,775.0,30.2,53900,North America
Croatia,1802,5.75,367.0,1100.0,36.1,1230000,Europe
Cuba,1802,5.78,411.0,917.0,32.5,316000,North America
Cyprus,1802,6.03,339.0,854.0,38.5,184000,Europe
Denmark,1802,4.05,378.0,2020.0,44.4,1010000,Europe
Djibouti,1802,6.3,445.0,757.0,29.9,22800,Africa
Dominica,1802,,,663.0,,20000,North America
Dominican Republic,1802,6.16,445.0,667.0,29.9,142000,North America
East Timor,1802,6.52,446.0,523.0,28.9,137000,Asia
Ecuador,1802,6.98,406.0,529.0,32.9,500000,South America
Egypt,1802,6.06,405.0,1600.0,33.0,3560000,Africa
El Salvador,1802,5.9,462.0,975.0,28.7,229000,North America
Equatorial Guinea,1802,5.51,447.0,357.0,29.8,80400,Africa
Eritrea,1802,6.96,441.0,532.0,30.2,205000,Africa
